# 港股主表 · 来自港交所官方 ListOfSecurities · 更新至 19/08/2026
# 由 scripts/gen_hk_master_csv.py 生成 · 共 3226 条(股票/ETF/REITs)
# name_en 是港交所给的英文名 —— 公开数据里没有中文名,不臆造
code,name_en,category,lot_size
00177,JIANGSU EXPRESS,Equity,2000
00178,SA SA INT'L,Equity,2000
00179,JOHNSON ELEC H,Equity,500
00180,KADER HOLDINGS,Equity,2000
00181,FUJIAN HOLDINGS,Equity,20000
00182,CONCORD NE,Equity,10000
00183,WINFULL GP,Equity,8000
00184,KECK SENG INV,Equity,2000
00185,ZENSUN ENT,Equity,1000
00186,NIMBLE HOLDINGS,Equity,30000
00187,JINGCHENG MAC,Equity,2000
00188,SUNWAH KINGSWAY,Equity,5000
00189,DONGYUE GROUP,Equity,1000
00191,LAI SUN INT'L,Equity,1000
00193,CAPITAL ESTATE,Equity,3000
00194,LIU CHONG HING,Equity,2000
00195,GREENTECH INTL,Equity,2000
00196,HONGHUA GROUP,Equity,1000
00197,HENG TAI,Equity,5000
00199,ITC PROPERTIES,Equity,1000
00200,MELCO INT'L DEV,Equity,1000
00201,MAGNIFICENT,Equity,2000
00202,EVERCHINA INT'L,Equity,5000
00204,CAPITAL REALM,Equity,5000
00205,BFB HEALTH,Equity,10000
00206,CM-ENERGY,Equity,1000
00209,POLY XVERSE-NEW,Equity,1000
00210,DAPHNE INT'L,Equity,2000
00211,STYLAND HOLD,Equity,10000
00212,NANYANG HOLD,Equity,500
00213,NATIONAL ELEC H,Equity,2000
00214,ASIA ORIENT,Equity,2000
00215,HUTCHTEL HK,Equity,2000
00216,CHINNEY INV,Equity,4000
00217,CHINA CHENGTONG,Equity,2000
00218,SWHYHK,Equity,5000
00219,SHUNHO PROPERTY,Equity,2000
00220,U-PRESID CHINA,Equity,1000
00222,MIN XIN HOLD,Equity,2000
00223,ELIFE HLDGS,Equity,20000
00224,PIONEER GLOBAL,Equity,4000
00225,POKFULAM,Equity,2000
00227,FIRST SHANGHAI,Equity,8000
00228,CHINA ENERGY,Equity,2000
00229,RAYMOND IND,Equity,5000
00232,CON AERO TECH,Equity,2000
00234,NEW CENTURY GP,Equity,24000
00235,CSC HOLDINGS,Equity,5000
00236,SAN MIGUEL HK,Equity,2000
00237,SAFETY GODOWN,Equity,2000
00239,PAK FAH YEOW,Equity,2500
00240,BUILD KING HOLD,Equity,10000
00241,ALI HEALTH,Equity,2000
00242,SHUN TAK HOLD,Equity,2000
00243,QPL INT'L,Equity,9000
00244,SINCERE,Equity,1000
00245,CHINA VERED FIN,Equity,5000
00247,TST PROPERTIES,Equity,2000
00248,HKC INT'L HOLD,Equity,10000
00251,SEA HOLDINGS,Equity,2000
00252,SE ASIA PPT,Equity,2000
00253,SHUNHO HOLDINGS,Equity,2000
00254,NUR HOLDINGS,Equity,20000
00255,LUNG KEE,Equity,2000
00256,CITYCHAMP,Equity,2000
00257,EB ENVIRONMENT,Equity,1000
00258,TOMSON GROUP,Equity,2000
00259,YEEBO (INT'L H),Equity,2000
00261,GBA HOLDINGS,Equity,16000
00262,DESON DEV INT'L,Equity,5000
00264,CN INT DEV CORP,Equity,4000
00265,GANGYU SERVICES,Equity,2000
00266,TIAN TECK LAND,Equity,2000
00267,CITIC,Equity,1000
00268,KINGDEE INT'L,Equity,1000
00269,CRTG,Equity,5000
00270,GUANGDONG INV,Equity,2000
00271,ASIASEC PPT,Equity,1000
00272,SHUI ON LAND,Equity,500
00274,RA SILK ROAD,Equity,10000
00276,MONGOLIA ENERGY,Equity,6000
00277,TERN PROPERTIES,Equity,2000
00279,ARTA TECHFIN,Equity,6000
00280,KING FOOK HOLD,Equity,2000
00285,BYD ELECTRONIC,Equity,500
00286,AIDIGONG,Equity,2000
00287,WINFAIR INV,Equity,2000
00288,WH GROUP,Equity,500
00289,WING ON CO,Equity,1000
00290,GOFINTECH QUANT,Equity,500
00291,CHINA RES BEER,Equity,500
00293,CATHAY PAC AIR,Equity,1000
00294,YANGTZEKIANG,Equity,1000
00295,KONG SUN HOLD,Equity,25000
00296,EMPEROR E HOTEL,Equity,5000
00297,SINOFERT,Equity,2000
00298,CHUANG'S CHINA,Equity,10000
00299,GLORY SUN LAND,Equity,5000
00300,MIDEA GROUP,Equity,100
00301,SANVO CHEMICALS,Equity,2000
00302,CMGE,Equity,2000
00303,VTECH HOLDINGS,Equity,100
00305,WULING MOTORS,Equity,10000
00306,KWOON CHUNG BUS,Equity,2000
00308,CHINA TRAVEL HK,Equity,2000
00309,XH NEWS MEDIA,Equity,2000
00310,PROSP INV HOLD,Equity,15000
00311,LUEN THAI,Equity,1000
00312,SHIRBLE STORE,Equity,2000
00313,RICHLY FIELD,Equity,25000
00314,SIPAI HEALTH,Equity,200
00315,SMARTONE TELE,Equity,500
00316,OOIL,Equity,500
00317,COMEC,Equity,2000
00318,VONGROUP,Equity,5000
00320,CTGL,Equity,2000
00321,TEXWINCA HOLD,Equity,2000
00322,TINGYI,Equity,2000
00323,MAANSHAN IRON,Equity,2000
00325,BLOKS,Equity,300
00326,CHINA STAR ENT,Equity,2000
00327,PAX GLOBAL,Equity,1000
00328,ALCO HOLDINGS,Equity,2000
00329,OCI INTL,Equity,4000
00330,ESPRIT HOLDINGS,Equity,10000
00331,FSE LIFESTYLE,Equity,1000
00332,YUANHENG GAS,Equity,10000
00333,TOP FORM INT'L,Equity,2000
00334,CH DISPLAY OPT,Equity,8000
00335,UPBEST GROUP,Equity,2000
00336,HUABAO INTL,Equity,1000
00337,GREENLAND HK,Equity,1000
00338,SHANGHAI PECHEM,Equity,2000
00339,WEBX HOLDING,Equity,10000
00340,TONGGUAN GOLD,Equity,2000
00341,CAFE DE CORAL H,Equity,2000
00343,CULTURECOM HOLD,Equity,5000
00345,VITASOY INT'L,Equity,2000
00346,YANCHANG PETRO,Equity,5000
